timestamp,action,source_path,destination_path,category,confidence,reason,renamed,duplicate_related,sent_to_review,rollback_source
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Axiom\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\the-omniscient-axiom-launcher",Axiom,high,"Active Axiom repo with clear business context and recent activity",false,false,false,"C:\Users\riley\Axiom\the-omniscient-axiom-launcher"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\GitHub\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\axiom-site",Axiom,high,"Website repo with clear Axiom naming",false,false,false,"C:\Users\riley\Documents\GitHub\axiom-site"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\GitHub\axiom-ops","C:\Users\riley\Drive-Staging\Axiom\06_Operations\axiom-ops",Axiom,high,"Operations repo with clear business context",false,false,false,"C:\Users\riley\Documents\GitHub\axiom-ops"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\GitHub\axiom-site-clean-check","C:\Users\riley\Drive-Staging\Axiom\07_Website\Review\axiom-site-clean-check",Axiom,medium,"Likely website validation or working copy",false,true,true,"C:\Users\riley\Documents\GitHub\axiom-site-clean-check"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\New project\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\Review\the-omniscient-axiom-launcher",Axiom,medium,"Likely duplicate or alternate working copy of active Axiom repo",false,true,true,"C:\Users\riley\Documents\New project\the-omniscient-axiom-launcher"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\New project\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\Review\axiom-site",Axiom,medium,"Likely alternate working copy of website repo",false,true,true,"C:\Users\riley\Documents\New project\axiom-site"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\omniscient_v4_leads_2026-03-18.csv","C:\Users\riley\Drive-Staging\Axiom\03_Leads\omniscient_v4_leads_2026-03-18.csv",Axiom,high,"Lead export with business naming",false,false,false,"C:\Users\riley\Downloads\omniscient_v4_leads_2026-03-18.csv"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\Omniscient Setup Guide.pdf","C:\Users\riley\Drive-Staging\Axiom\06_Operations\Omniscient Setup Guide.pdf",Axiom,high,"Operational setup document for Axiom-related tooling",false,false,false,"C:\Users\riley\Downloads\Omniscient Setup Guide.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A1","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A1",School,high,"Current assignment folder with very recent activity",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A1"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A2","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A2",School,high,"Current assignment folder with very recent activity",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A2"
